ra1,dec1,ra2,dec2,name,distance
107.097917,-26.393333,108.702917,-26.772778,Canis Major,1.484624736812628
111.02375,-29.303056,108.702917,-26.772778,Canis Major,3.255314868318414
107.097917,-26.393333,105.75625,-23.833333,Canis Major,2.833551657480835
101.287083,-16.716111,105.75625,-23.833333,Canis Major,8.258147438031708
114.825417,5.225,111.7875,8.289444,Canis Minor,4.299964667203663
304.51375,-12.544722,305.252917,-14.781389,Capricornus,2.3491454799588185
311.52375,-25.270833,305.252917,-14.781389,Capricornus,12.024992366175324
316.486667,-17.232778,305.252917,-14.781389,Capricornus,11.07066077454144
316.486667,-17.232778,312.955417,-26.919167,Capricornus,10.222321869660849
316.486667,-17.232778,321.666667,-22.411389,Capricornus,7.109193837351958
316.486667,-17.232778,320.561667,-16.834444,Capricornus,3.9164711548339493
321.666667,-22.411389,320.561667,-16.834444,Capricornus,5.673133776482535
325.022917,-16.662222,320.561667,-16.834444,Capricornus,4.275381082943579
325.022917,-16.662222,326.76,-16.127222,Capricornus,1.7502139297203338
95.987917,-52.695833,125.628333,-59.509722,Carina,17.692955704272848
125.628333,-59.509722,122.383333,-47.336667,Carina,12.321964495392818
95.987917,-52.695833,99.440417,-43.196111,Carina,9.774169257675734
130.154167,-59.761111,125.628333,-59.509722,Carina,2.3011235766737337
137.741667,-58.966944,130.154167,-59.761111,Carina,3.9448305159300436
137.741667,-58.966944,130.154167,-59.761111,Carina,3.9448305159300436
137.741667,-58.966944,139.2725,-59.275278,Carina,0.8439747453384544
154.270833,-61.332222,139.2725,-59.275278,Carina,7.6902922195918135
154.270833,-61.332222,156.969583,-58.739444,Carina,2.9216444855925374
163.373333,-58.853333,156.969583,-58.739444,Carina,3.3183470757462286
163.373333,-58.853333,167.1475,-58.975,Carina,1.9522171271383157
160.88375,-60.566667,167.1475,-58.975,Carina,3.530520948536749
160.88375,-60.566667,160.739167,-64.394444,Carina,3.8283572967289294
153.434167,-70.038056,160.739167,-64.394444,Carina,6.302959443497039
153.434167,-70.038056,138.3,-69.717222,Carina,5.202947071119356
28.59875,63.67,21.454167,60.235278,Cassiopeia,4.799203802070499
14.177083,60.716667,21.454167,60.235278,Cassiopeia,3.616312239525309
14.177083,60.716667,10.127083,56.537222,Cassiopeia,4.679118221587482
2.294583,59.149722,10.127083,56.537222,Cassiopeia,4.91509542910343
173.945,-63.019722,173.690417,-54.264167,Centaurus,8.756539496744676
182.089583,-50.7225,173.690417,-54.264167,Centaurus,6.214081127236179
182.089583,-50.7225,187.01,-50.230556,Centaurus,3.169115755619827
190.379167,-48.959722,187.01,-50.230556,Centaurus,2.5263377342242297
190.379167,-48.959722,208.885,-47.288333,Centaurus,12.433906813770252
204.971667,-53.466389,208.885,-47.288333,Centaurus,6.660533602427991
204.971667,-53.466389,210.955833,-60.373056,Centaurus,7.632773584354321
219.899583,-60.835278,210.955833,-60.373056,Centaurus,4.4107310632225385
209.67,-44.803611,208.885,-47.288333,Centaurus,2.543719661662788
209.67,-44.803611,207.404167,-42.473889,Centaurus,2.848681309764454
218.876667,-42.157778,207.404167,-42.473889,Centaurus,8.482702633249408
218.876667,-42.157778,224.790417,-42.104167,Centaurus,4.385166417473373
207.37625,-41.687778,207.404167,-42.473889,Centaurus,0.7863840025593518
207.37625,-41.687778,211.670833,-36.37,Centaurus,6.275577393296879
207.37625,-41.687778,202.76125,-39.4075,Centaurus,4.182006371175221
200.149167,-36.712222,202.76125,-39.4075,Centaurus,3.3899726046045386
354.836667,77.6325,342.42,66.200556,Cepheus,12.00231304625764
354.836667,77.6325,322.165,70.560833,Cepheus,11.152827889891913
342.42,66.200556,322.165,70.560833,Cepheus,8.582969099133443
342.42,66.200556,332.71375,58.201111,Cepheus,9.16796445930264
319.645,62.585556,322.165,70.560833,Cepheus,8.036239280975911
319.645,62.585556,332.71375,58.201111,Cepheus,7.782319775795909
33.25,8.846667,37.039583,8.46,Cetus,3.7663232218796483
41.235417,10.114167,37.039583,8.46,Cetus,4.458845245941264
41.235417,10.114167,44.92875,8.9075,Cetus,3.837143973370585
45.57,4.089722,44.92875,8.9075,Cetus,4.8596986068449874
45.57,4.089722,40.825,3.235833,Cetus,4.811630844652355
38.96875,5.593333,40.825,3.235833,Cetus,2.9970922101377955
38.96875,5.593333,37.039583,8.46,Cetus,3.447167729404242
39.870833,0.328611,40.825,3.235833,Cetus,3.0596238432569622
39.870833,0.328611,34.83625,-2.9775,Cetus,6.021362289462956
39.890833,-11.872222,34.83625,-2.9775,Cetus,10.207101011994764
39.890833,-11.872222,41.030833,-13.858611,Cetus,2.2761292311755312
38.021667,-15.244722,41.030833,-13.858611,Cetus,3.2255439469101828
38.021667,-15.244722,26.017083,-15.9375,Cetus,11.58198354723748
10.8975,-17.986667,26.017083,-15.9375,Cetus,14.601771517294111
10.8975,-17.986667,4.857083,-8.823889,Cetus,10.88090588930215
10.8975,-17.986667,17.1475,-10.182222,Cetus,9.878705219551339
21.005833,-8.183333,17.1475,-10.182222,Cetus,4.301330107353292
21.005833,-8.183333,27.865,-10.335,Cetus,7.102997834199152
36.4875,-12.290556,27.865,-10.335,Cetus,8.677429708801027
36.4875,-12.290556,39.890833,-11.872222,Cetus,3.3541137780108152
184.58625,-79.312222,158.867083,-78.607778,Chamaeleon,4.933402110766398
124.631667,-76.919722,158.867083,-78.607778,Chamaeleon,7.333274431742297
229.378333,-58.801111,220.626667,-64.975278,Circinus,7.410152866927563
230.844583,-59.320833,220.626667,-64.975278,Circinus,7.382182795037362
95.528333,-33.436389,94.137917,-35.140556,Columba,2.0551453183589254
89.384167,-35.283333,94.137917,-35.140556,Columba,3.8861818550154084
89.384167,-35.283333,87.74,-35.768333,Columba,1.4232702477365151
84.912083,-34.074167,87.74,-35.768333,Columba,2.871470715804077
84.912083,-34.074167,82.802917,-35.470556,Columba,2.2250967694550523
89.786667,-42.815278,87.74,-35.768333,Columba,7.2221043007604715
197.497083,17.529444,197.968333,27.878056,Coma Berenices,10.357701451073906
186.734583,28.268333,197.968333,27.878056,Coma Berenices,9.916188405542147
284.070417,-42.710556,285.77875,-42.095278,Corona Australis,1.403482754235372
287.087083,-40.496667,285.77875,-42.095278,Corona Australis,1.8765793302042406
287.087083,-40.496667,287.507083,-39.340833,Corona Australis,1.1998763233475451
287.367917,-37.904444,287.507083,-39.340833,Corona Australis,1.440497504877778
287.367917,-37.904444,286.604583,-37.063333,Corona Australis,1.0365082372807384
284.680833,-37.1075,286.604583,-37.063333,Corona Australis,1.5352565194790753
284.680833,-37.1075,284.16875,-37.343333,Corona Australis,0.4710391606034083
280.945417,-38.323611,284.16875,-37.343333,Corona Australis,2.7277910484074006
280.945417,-38.323611,278.089167,-39.703889,Corona Australis,2.613295155567389
233.2325,31.359167,231.957083,29.105833,Corona Borealis,2.508280664946086
233.672083,26.714722,231.957083,29.105833,Corona Borealis,2.8308202296385954
233.672083,26.714722,235.685833,26.295556,Corona Borealis,1.8501754345434014
237.39875,26.068333,235.685833,26.295556,Corona Borealis,1.5538578351538903
237.39875,26.068333,239.397083,26.877778,Corona Borealis,1.9633733756372338
